srNo,sys_gUid,uniqueId,createdBy,createdDate,lastUpdatedBy,lastUpdatedDate,streetNameFrom,streetNameTo,routeName,mileMarkerStart,mileMarkerEnd,plannedStartDate,plannedEndDate,closureStatus,actualStartDate,actualEndDate,imageUrl,imageName/Description
1,ConstructionClosure-cd49c1b0-ec67-4210-891e-ac9594ef75b9,5c1d0e4499bddb00565a0cc2,nnageli@navjoyinc.com.cdotgov,2018-12-21T16:01:08.608Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T14:54:34.322Z,,,I-25,58,59,5/31/2019 9:00,5/31/2019 19:00,,5/31/2019 9:00,,,
2,ConstructionClosure-d21f1978-c394-4992-a605-36e5c54c0429,5cafb6f327f3ca004bf30d50,sschmidtlein@navjoyinc.com.cdotgov,2019-04-11T21:51:47.983Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T15:39:31.550Z,46th Ave,I-225,I-70,275,283,5/31/2019 10:30,5/31/2019 17:30,,5/31/2019 2:00,,,
3,ConstructionClosure-219c0d3e-c52e-4a01-884b-80337bcef322,5cb4a2fe27f3ca004bf30e73,sschmidtlein@navjoyinc.com.cdotgov,2019-04-15T15:27:58.423Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T15:55:39.203Z,McCaslin Blvd,Interlocken Blvd,US 128,4.22,6.62,5/31/2019 9:00,5/31/2019 19:00,,5/31/2019 9:00,,,
4,ConstructionClosure-6b0667a6-22e0-4c8f-ae8d-bebcb54966cf,5cb8bb77d8910d003729b976,sschmidtlein@navjoyinc.com.cdotgov,2019-04-18T18:01:27.154Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T16:01:44.460Z,US 6,Edwards Access Rd,US 6,166,166,5/31/2019 11:00,5/31/2019 17:00,,5/31/2019 11:00,,,
5,ConstructionClosure-4a53e68f-2b3d-410d-8c45-a825db850b6c,5cb8d60ed8910d003729b98e,sschmidtlein@navjoyinc.com.cdotgov,2019-04-18T19:54:54.059Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T16:04:10.730Z,US 6,Edwards Access Rd,US 6,166,166,5/31/2019 9:00,5/31/2019 19:00,,5/31/2019 9:00,,,
6,ConstructionClosure-0dbe553a-0aa3-4a99-8ea8-fb315d3d7af4,5cee9dacfc01830041ce079e,nnageli@navjoyinc.com.cdotgov,2019-05-29T14:56:44.837Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T14:56:44.837Z,,,I-25,58,59,5/31/2019 2:00,5/31/2019 2:00,,5/31/2019 9:00,,,
7,ConstructionClosure-ca34f5f9-accf-425a-a089-f2e31acf8beb,5ceea41ffc01830041ce08b0,nnageli@navjoyinc.com.cdotgov,2019-05-29T15:24:15.005Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T15:24:15.006Z,St Paul St,Steele St,US 40,300.06,300.16,6/1/2019 2:00,6/1/2019 2:00,,,,,
8,ConstructionClosure-dd53ff19-119d-4691-a232-e58e73b7a541,5ceeb1adfc01830041ce0a62,nnageli@navjoyinc.com.cdotgov,2019-05-29T16:22:05.288Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T16:22:05.288Z,Palmer Divide Rd,CO 105,I-25,162,163,5/31/2019 10:30,5/31/2019 18:00,,5/31/2019 10:30,,,
9,ConstructionClosure-e7c2ce95-40fa-4756-8617-e1151854fdbb,5d3b1234e8b898004df830c5,nnageli@navjoyinc.com.cdotgov,2019-07-26T14:46:12.602Z,nnageli@navjoyinc.com.cdotgov,2019-07-26T14:46:12.602Z,I-25,Denver,US-34,,,7/29/2019 2:00,7/29/2019 2:00,,,,,
10,ConstructionClosure-532708ea-4f87-49d1-b020-6e521a134a35,5dc443ab170a570046423f20,djoslin@navjoyinc.com.gwv,2019-11-07T16:17:47.166Z,djoslin@navjoyinc.com.gwv,2019-11-25T23:41:11.445Z,Steele St.,Albion St,Belleview Ave,,,,,,11/6/2019 11:00,11/6/2019 17:00,,
